Date,Open,High,Low,Close,Adj Close,Volume,High/Low % Change,Open/Close % Change,Total Percent Change,Vixopen,Vixhigh,Vixlow,Vixclose,VixOpen/Low % Change,MUD,US3M,US6M,US1Y,US2Y,US3Y,US5Y,US7Y,US10Y,US30Y
5/17/1993,44.125,44.15625,43.9375,44.15625,25.00457,34000,0.005,0.0007,0.07082153,14.85000038,14.85000038,14.10000038,14.13000011,0.050955432,1,3.08,3.21,3.41,4.05,4.47,5.27,5.72,6.07,6.97
5/18/1993,44.1875,44.21875,43.96875,44.125,24.98686,105200,0.0057,-0.0014,0,14.52000046,14.61999989,14.07999992,14.18999958,0.023255876,0,3.08,3.2,3.4,4.08,4.49,5.3,5.78,6.15,7.02
5/19/1993,44.125,45.03125,43.84375,45.03125,25.500051,50200,0.0271,0.0201,2.053824363,14.46000004,15.02000046,13.76000023,14.28999996,0.011896436,1,3.03,3.17,3.37,4.03,4.45,5.26,5.73,6.11,6.98
5/20/1993,45.03125,45.15625,44.9375,45.15625,25.570824,98200,0.0049,0.0028,2.337110482,14.46000004,15.10999966,13.31000042,13.97999954,0.034334801,1,3.03,3.16,3.39,4.03,4.45,5.25,5.71,6.09,6.99
5/21/1993,45.1875,45.25,44.71875,44.75,25.340801,221400,0.0119,-0.0098,1.416430595,14.15999985,14.96000004,13.67000008,14.51000023,-0.024121322,0,3.07,3.21,3.45,4.14,4.53,5.34,5.78,6.16,7.03
5/24/1993,44.84375,45.09375,44.84375,44.9375,25.44697,30500,0.0056,0.0021,1.841359773,14.15999985,14.80000019,14.09000015,14.10000038,0.004255281,1,3.15,3.31,3.52,4.19,4.59,5.37,5.79,6.16,6.99
5/25/1993,45.125,45.125,45.03125,45.03125,25.500051,191800,0.0021,-0.0021,2.053824363,13.72999954,14.34000015,13.72999954,14.03999996,-0.022079802,0,3.14,3.3,3.52,4.19,4.59,5.38,5.81,6.17,7.01
5/26/1993,45.15625,45.625,45.125,45.59375,25.818583,102400,0.0111,0.0096,3.328611898,13.19999981,13.81999969,12.88000011,12.88000011,0.024844697,1,3.12,3.28,3.51,4.2,4.57,5.35,5.76,6.12,6.94
5/27/1993,45.65625,45.65625,45.375,45.4375,25.730099,53800,0.0062,-0.0048,2.974504249,13.57999992,13.72999954,13.09000015,13.10000038,0.036641185,0,3.13,3.32,3.58,4.22,4.6,5.35,5.76,6.11,6.93
5/28/1993,45.40625,45.40625,45,45.21875,25.606239,79100,0.009,-0.0041,2.478753541,13.21000004,13.85999966,13.11999989,13.47000027,-0.01930217,0,3.13,3.32,3.62,4.24,4.63,5.37,5.8,6.16,6.98
